name,aliases,category,source,external_id,search_text,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_100g,sugar_100g,saturated_fat_100g,brands,original_name_en
Sal Marinho lebre,{},molhos_temperos,ai_estimated,7896110100043,sal marinho lebre,,,,,,,,,Sal Lebre,
Sal Rosa do Himalaia,{},molhos_temperos,ai_estimated,7898957617807,sal rosa do himalaia,,,,,,,,,Smart,
Noix de rapé,{},molhos_temperos,ai_estimated,7896327511830,noix de rapé,,,,,,,,,APTI,
Amaciante de Carnes,{},molhos_temperos,ai_estimated,7891000502303,amaciante de carnes,,,,,,,,,"Maggi,Nestlé",
Mix Barbecue Para Carne Com Moedor Br Spices Churrasco Vidro 80g,{},molhos_temperos,ai_estimated,7898946900972,mix barbecue para carne com moedor br spices churrasco vidro 80g,,,,,,,,,BR SPICES,
Sabor ami,{},molhos_temperos,ai_estimated,7891132000029,sabor ami,,,,,,,,,Ajinomoto,
Sal gruesa,{},molhos_temperos,ai_estimated,7791004000822,sal gruesa,,,,,,,,,"Celusal,Timbo",
MAVALÉRIO Aroma Idêntico ao Natural de Baunilha Branca,{},molhos_temperos,ai_estimated,7898409950742,mavalério aroma idêntico ao natural de baunilha branca,,,,,,,,,MAVALÉRIO,
MAVALÉRIO Essência de Baunilha,{},molhos_temperos,ai_estimated,7896072630121,mavalério essência de baunilha,,,,,,,,,MAVALÉRIO,
MIX Aroma Artificial de Baunilha,{},molhos_temperos,ai_estimated,7897011500536,mix aroma artificial de baunilha,,,,,,,,,MIX,
ARCOLOR Essência de Baunilha Branca,{},molhos_temperos,ai_estimated,7896226300436,arcolor essência de baunilha branca,,,,,,,,,ARCOLOR,
PALLNI Aroma de Baunilha,{},molhos_temperos,ai_estimated,7897670720016,pallni aroma de baunilha,,,,,,,,,PALLNI,
KISABOR Aroma de Baunilha,{},molhos_temperos,ai_estimated,7898416525094,kisabor aroma de baunilha,,,,,,,,,KISABOR,
SMART Sal Rosa do Himalaia Grosso,{},molhos_temperos,ai_estimated,7898957617487,smart sal rosa do himalaia grosso,,,,,,,,,SMART,
BR SPICES Sal Rosa Himalaia Grosso,{},molhos_temperos,ai_estimated,7898635640066,br spices sal rosa himalaia grosso,,,,,,,,,BR SPICES,
COLLECTA Sal Rosa do Himalaia Fino,{},molhos_temperos,ai_estimated,7898952825504,collecta sal rosa do himalaia fino,,,,,,,,,COLLECTA,
COLLECTA Sal Rosa do Himalaia Grosso,{},molhos_temperos,ai_estimated,7898952825528,collecta sal rosa do himalaia grosso,,,,,,,,,COLLECTA,
OISHII Sal do Himalaia Fino,{},molhos_temperos,ai_estimated,7898714350251,oishii sal do himalaia fino,,,,,,,,,OISHII,
VILA CERRONI Sal Grosso para Churrasco,{},molhos_temperos,ai_estimated,7898949791409,vila cerroni sal grosso para churrasco,,,,,,,,,VILA CERRONI,
Fumaça Líquida Bombay Herbs & Spices,{},molhos_temperos,ai_estimated,7898453466879,fumaça líquida bombay herbs & spices,,,,,,,,,Herbs & Spices,
Fumaça Líquida Gastronomia Eco-Pirol,{},molhos_temperos,ai_estimated,7982505490520,fumaça líquida gastronomia eco-pirol,,,,,,,,,Eco-Pirol,
Fumaça Líquida Puro Fogo,{},molhos_temperos,ai_estimated,0742832952323,fumaça líquida puro fogo,,,,,,,,,Puro Fogo,
Fumaça Líquida O Sabor do Texas,{},molhos_temperos,ai_estimated,7898933404469,fumaça líquida o sabor do texas,,,,,,,,,O Sabor do Texas,
Fumaça Liquida - Aroma e Sabor Defumado Arrifana,{},molhos_temperos,ai_estimated,7896056105621,fumaça liquida - aroma e sabor defumado arrifana,,,,,,,,,Arrifana,
Fumaça Líquida Bom de Brasa,{},molhos_temperos,ai_estimated,7897261901183,fumaça líquida bom de brasa,,,,,,,,,Bom de Brasa,
Sal Rosa do Himalaia Grosso Mundo Verde Seleção 500g,{},molhos_temperos,ai_estimated,7898941401788,sal rosa do himalaia grosso mundo verde seleção 500g,,,,,,,,,,
Sal Rosa Do Himalaia Moído Mundo Verde 500g,{},molhos_temperos,ai_estimated,7898180903524,sal rosa do himalaia moído mundo verde 500g,,,,,,,,,Mundo Verde,
Sal Light 500g - Neve,{},molhos_temperos,ai_estimated,7898028000156,sal light 500g - neve,,,,,,,,,Neve,
Sal Maríssimo 500g - Mãe Terra,{},molhos_temperos,ai_estimated,7896496941322,sal maríssimo 500g - mãe terra,,,,,,,,,,
Sal do Himalaia Fino 600g - Eat Clean,{},molhos_temperos,ai_estimated,7898958059378,sal do himalaia fino 600g - eat clean,,,,,,,,,,
Sal de Parrilla Gourmet 600g - Bombay,{},molhos_temperos,ai_estimated,7898453465568,sal de parrilla gourmet 600g - bombay,,,,,,,,,Bombay,
Bicarbonato de sódio chinezinho,{},molhos_temperos,ai_estimated,7896046600112,bicarbonato de sódio chinezinho,,,,,,,,,Chinezinho,Sodium bicarbonate
Sal refinado,{},molhos_temperos,ai_estimated,7895000352371,sal refinado,,,,,,,,,Qualitá,
"Vegan Vitamin B12 Sublingual Deva Vegan Tablets, 90 CT",{},outros,ai_estimated,0895634000218,"vegan vitamin b12 sublingual deva vegan tablets, 90 ct",,,,,,,,,Deva,Vegan B12
Matte Leáo,{},outros,ai_estimated,5297498000680,matte leáo,,,,,,,,,,
Taca copa do mundo,{},outros,ai_estimated,7891008244137,taca copa do mundo,,,,,,,,,garoto,
Cisne Tradicional,{},outros,ai_estimated,7896035271538,cisne tradicional,,,,,,,,,Cisne,
Água Mineral Natural,{},outros,ai_estimated,7896062800022,água mineral natural,,,,,,,,,Petrópolis,Água Mineral Natural
Água Mineral Minalice,{},outros,ai_estimated,7896326100202,água mineral minalice,,,,,,,,,Minalice,
Sal Cisne Refinado Extra,{},outros,ai_estimated,78903180,sal cisne refinado extra,,,,,,,,,Cisne,
Lindoya,{},outros,ai_estimated,7896089500134,lindoya,,,,,,,,,,
Yaguara,{},outros,ai_estimated,7898953842043,yaguara,,,,,,,,,,
7896224817189,{},outros,ai_estimated,7896224817189,7896224817189,,,,,,,,,,
7896490288775,{},outros,ai_estimated,7896490288775,7896490288775,,,,,,,,,dona clara,Flaked Corn Flour
